	Dark skin	Light skin	Blue sky	Foliage	Blue flower	Bluish green	Orange	Purplish blue	Moderate red	Purple	Yellow green	Orange yellow	Blue	Green	Red	Yellow	Magenta	Cyan	White	Neutral 8	Neutral 6.5	Neutral 5	Neutral 3.5	Black
405.37	0.081917	0.20349	0.29117	0.08327	0.37564	0.29641	0.080152	0.32258	0.17241	0.19392	0.11043	0.096627	0.19562	0.083256	0.091959	0.12057	0.36117	0.2395	0.64075	0.52627	0.3419	0.1893	0.097876	0.044685
408.56	0.078461	0.20121	0.30112	0.079114	0.39274	0.30566	0.075126	0.33572	0.16704	0.19237	0.10405	0.090807	0.20532	0.080032	0.084291	0.1112	0.36834	0.25013	0.71663	0.56099	0.35219	0.1907	0.096197	0.043056
411.75	0.076357	0.19924	0.3069	0.075641	0.40364	0.31254	0.071715	0.34581	0.16237	0.19032	0.099239	0.085639	0.21427	0.077671	0.078365	0.10335	0.37153	0.25621	0.7771	0.58232	0.35825	0.19102	0.095261	0.041324
414.94	0.074239	0.19776	0.31006	0.073111	0.40989	0.31792	0.068672	0.35437	0.15831	0.18942	0.095335	0.081593	0.22083	0.075761	0.073826	0.097001	0.37256	0.25859	0.82043	0.59472	0.36179	0.1911	0.094375	0.039825
418.14	0.072794	0.19663	0.31304	0.070928	0.4141	0.32239	0.066343	0.36262	0.15495	0.188	0.09222	0.078475	0.22855	0.074328	0.070274	0.092111	0.37243	0.26347	0.84991	0.60258	0.36415	0.19158	0.093742	0.038825
421.33	0.071276	0.19639	0.31695	0.068929	0.41744	0.32652	0.064485	0.3708	0.15209	0.18577	0.089675	0.075706	0.23698	0.073327	0.067197	0.087955	0.37067	0.27213	0.86819	0.6085	0.36624	0.19203	0.093504	0.038045
424.52	0.070297	0.19665	0.32012	0.067377	0.42045	0.33161	0.063154	0.37881	0.1494	0.18288	0.087647	0.073831	0.24622	0.072623	0.064815	0.08466	0.36675	0.27969	0.88034	0.61251	0.36833	0.19278	0.093424	0.037455
427.71	0.069459	0.19707	0.32106	0.066179	0.42275	0.33755	0.061812	0.38697	0.14721	0.17895	0.086388	0.072118	0.25455	0.072278	0.062863	0.082126	0.36169	0.2842	0.88871	0.61569	0.36987	0.19376	0.093811	0.037011
430.9	0.06862	0.19801	0.32273	0.064986	0.42467	0.34401	0.060722	0.39511	0.14535	0.1742	0.085224	0.07052	0.26272	0.072065	0.061246	0.079923	0.35521	0.29246	0.89418	0.61829	0.37189	0.19468	0.094258	0.036428
434.09	0.067932	0.1995	0.32571	0.06401	0.4263	0.35062	0.060028	0.40319	0.14374	0.16941	0.084574	0.069617	0.27197	0.072196	0.059642	0.077979	0.34855	0.30427	0.89906	0.62091	0.37421	0.19582	0.094797	0.036299
437.29	0.067433	0.2016	0.3283	0.063263	0.42704	0.35673	0.059387	0.41034	0.14218	0.16436	0.084129	0.068766	0.28148	0.072563	0.058225	0.076548	0.34057	0.31565	0.90339	0.62346	0.37622	0.19686	0.095073	0.036148
440.48	0.067088	0.20475	0.33015	0.062881	0.42771	0.36361	0.05899	0.41586	0.14083	0.15919	0.084157	0.068067	0.29069	0.073277	0.057191	0.07567	0.33216	0.32608	0.90746	0.62574	0.3781	0.19818	0.095482	0.035744
443.67	0.066387	0.20759	0.32999	0.06249	0.429	0.37279	0.058686	0.41757	0.13933	0.15368	0.084699	0.067698	0.29673	0.074122	0.056128	0.074843	0.3249	0.33649	0.90457	0.62558	0.37863	0.19884	0.095999	0.035462
446.86	0.065815	0.21182	0.32922	0.062398	0.42833	0.38428	0.058648	0.41718	0.13761	0.14757	0.085594	0.067873	0.30048	0.075439	0.055324	0.074427	0.31609	0.34803	0.89782	0.62549	0.37862	0.19887	0.096032	0.03512
450.05	0.065702	0.2167	0.32804	0.062691	0.42516	0.39767	0.05911	0.41406	0.13598	0.14149	0.086544	0.068736	0.30298	0.077443	0.055053	0.074445	0.30553	0.36012	0.90188	0.62497	0.37798	0.19838	0.095696	0.035322
453.24	0.065554	0.22318	0.32739	0.06326	0.42259	0.41007	0.060126	0.41051	0.13471	0.13573	0.088007	0.069627	0.30382	0.079918	0.054982	0.07463	0.29591	0.37037	0.90844	0.62534	0.37846	0.19821	0.095186	0.035097
456.44	0.065473	0.23049	0.32573	0.064485	0.42006	0.42324	0.06152	0.40412	0.13305	0.13048	0.090302	0.070957	0.30168	0.082993	0.055149	0.07542	0.2868	0.38021	0.91349	0.62049	0.37786	0.19807	0.094775	0.034857
459.63	0.065591	0.23875	0.3242	0.066376	0.41698	0.43929	0.063529	0.3961	0.13153	0.12556	0.093222	0.072936	0.29807	0.086877	0.055788	0.076733	0.27805	0.39219	0.91798	0.61699	0.37765	0.19771	0.09436	0.034551
462.82	0.065641	0.24765	0.3222	0.06895	0.41312	0.45648	0.066032	0.3862	0.12977	0.12059	0.096471	0.07569	0.29159	0.091403	0.056601	0.078348	0.26931	0.40408	0.92051	0.61836	0.37727	0.19713	0.093842	0.034511
466.01	0.06606	0.25759	0.32016	0.072332	0.40886	0.47302	0.069439	0.37547	0.1281	0.11604	0.10093	0.079216	0.28323	0.096799	0.057722	0.08052	0.26072	0.41452	0.9242	0.62148	0.37708	0.19677	0.093471	0.034257
469.2	0.066365	0.26856	0.31785	0.076363	0.40403	0.48865	0.073152	0.36341	0.12638	0.11127	0.10647	0.083398	0.27218	0.10343	0.059017	0.083493	0.25186	0.42232	0.92745	0.62261	0.37676	0.19624	0.093209	0.034144
