SpectraShop	5.0
NUMBER_OF_SETS	18
ORIGINATOR	"Robin D. Myers"
CREATED	"2001-10-30"
MANUFACTURER	"Kodak"
PROD_DATE	"1989-06"
SPECTRUM_TYPE	"Reflective"
MATERIAL	"Ink"
SURFACE	"Semi-gloss"
INSTRUMENTATION	"Spectrolino"
INSTRUMENT_SERIAL_NUMBER	""
MEASUREMENT_GEOMETRY	"45/0"
MEASUREMENT_SOURCE	"D65"
MEASUREMENT_APERTURE	"4 mm"
MEASUREMENT_FILTER	"D65"
SAMPLE_BACKING	"Black"
NMEASUREMENTS	1
OBSERVER	"2 degree"
ILLUMINANT	"D65"
RGB_SPACE	"sRGB"
NUMBER_OF_FIELDS	75
BEGIN_DATA_FORMAT
SAMPLE_ID1	SAMPLE_ID2	SAMPLE_ID3	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL
END_DATA_FORMAT
BEGIN_DATA
"Light Blue"	""	""	
380	3.082000E-1
390	4.082000E-1
400	5.583000E-1
410	6.859000E-1
420	7.360000E-1
430	7.598000E-1
440	7.803000E-1
450	7.969000E-1
460	8.115000E-1
470	8.248000E-1
480	8.352000E-1
490	8.461000E-1
500	8.543000E-1
510	8.607000E-1
520	8.673000E-1
530	8.705000E-1
540	8.746000E-1
550	8.806000E-1
560	8.818000E-1
570	8.889000E-1
580	8.923000E-1
590	8.982000E-1
600	9.020000E-1
610	9.056000E-1
620	9.058000E-1
630	9.066000E-1
640	9.074000E-1
650	9.113000E-1
660	9.135000E-1
670	9.147000E-1
680	9.164000E-1
690	9.167000E-1
700	9.191000E-1
710	9.203000E-1
720	9.179000E-1
730	8.881000E-1
"Blue"	""	""	
380	1.019000E-1
390	1.422000E-1
400	1.978000E-1
410	2.458000E-1
420	2.729000E-1
430	2.933000E-1
440	3.101000E-1
450	3.206000E-1
460	3.246000E-1
470	3.205000E-1
480	3.023000E-1
490	2.662000E-1
500	2.227000E-1
510	1.829000E-1
520	1.446000E-1
530	1.172000E-1
540	1.132000E-1
550	1.173000E-1
560	1.143000E-1
570	1.151000E-1
580	1.356000E-1
590	1.679000E-1
600	1.895000E-1
610	1.867000E-1
620	1.723000E-1
630	1.713000E-1
640	1.953000E-1
650	2.328000E-1
660	2.743000E-1
670	3.102000E-1
680	3.367000E-1
690	3.521000E-1
700	3.602000E-1
710	3.628000E-1
720	3.673000E-1
730	3.673000E-1
"Light Cyan"	""	""	
380	2.625000E-1
390	3.535000E-1
400	4.903000E-1
410	6.083000E-1
420	6.601000E-1
430	6.901000E-1
440	7.178000E-1
450	7.436000E-1
460	7.667000E-1
470	7.855000E-1
480	8.016000E-1
490	8.199000E-1
500	8.356000E-1
510	8.454000E-1
520	8.519000E-1
530	8.527000E-1
540	8.527000E-1
550	8.511000E-1
560	8.405000E-1
570	8.327000E-1
580	8.238000E-1
590	8.195000E-1
600	8.148000E-1
610	8.099000E-1
620	8.092000E-1
630	8.107000E-1
